town,county,floterial_district
Strafford,Strafford,St 18
Stratford,Stratford,
Stratham,Stratham,Ro 33
Success,Success,
Sugar Hill,Sugar Hill,
Sullivan,Sullivan,Ch 16
Sunapee,Sunapee,Su 8
Surry,Surry,Ch 15
Sutton,Sutton,
Swanzey,Swanzey,Ch 17
Tamworth,Tamworth,Ca 8
Temple,Temple,
Thompson & Meserve,Thompson & Meserve,
Thornton,Thornton,
Tilton,Tilton,Be 8
Troy,Troy,Ch 17
Tuftonboro,Tuftonboro,Ca 7
Unity,Unity,Su 7
Unorganized Territory,Unorganized Territory,
Wakefield,Wakefield,Ca 8
Walpole,Walpole,Ch 15
Warner,Warner,
Warren,Warren,
Washington,Washington,Su 8
Waterville Valley,Waterville Valley,
Weare,Weare,Hi 44
Webster,Webster,Me 26
Wentworth,Wentworth,
Wentworths Location,Wentworths Location,
Westmoreland,Westmoreland,Ch 15
Whitefield,Whitefield,Co 7
Wilmot,Wilmot,
Wilton,Wilton,
Winchester,Winchester,Ch 17
Windham,Windham,Ro 35
Windsor,Windsor,
Wolfeboro,Wolfeboro,Ca 7
Woodstock,Woodstock,
